date_and_time,lat,lon,speed
16-04-12 15:55:22:000,32.093501,34.974319,10
16-04-12 15:55:23:000,32.093472,34.9743,9
16-04-12 15:55:24:000,32.093461,34.974279,10
16-04-12 15:55:25:000,32.093449,34.974267,9
16-04-12 15:55:26:000,32.093421,34.974219,11
16-04-12 15:55:27:000,32.093403,34.974195,11
16-04-12 15:55:28:000,32.093379,34.974156,11
16-04-12 15:55:29:000,32.093365,34.974106,12
16-04-12 15:55:30:000,32.093341,34.974075,13
16-04-12 15:55:31:000,32.093326,34.974041,13
16-04-12 15:55:32:000,32.093303,34.973999,13
16-04-12 15:55:33:000,32.093287,34.973983,9
16-04-12 15:55:34:000,32.093274,34.973955,10
16-04-12 15:55:35:000,32.093268,34.973927,11
16-04-12 15:55:36:000,32.093255,34.973892,11
16-04-12 15:55:37:000,32.09325,34.973863,9
16-04-12 15:55:38:000,32.093232,34.973846,9
16-04-12 15:55:39:000,32.093221,34.973832,6
16-04-12 15:55:40:000,32.093193,34.97382,8
16-04-12 15:55:41:000,32.093158,34.973795,10
16-04-12 15:55:42:000,32.093147,34.973768,10
16-04-12 15:55:43:000,32.093118,34.973759,9
16-04-12 15:55:44:000,32.093115,34.97373,9
16-04-12 15:55:45:000,32.093097,34.973725,8
16-04-12 15:55:46:000,32.093071,34.973688,9
16-04-12 15:55:47:000,32.093055,34.973665,11
16-04-12 15:55:48:000,32.093026,34.97365,9
16-04-12 15:55:49:000,32.093,34.973621,13
16-04-12 15:55:50:000,32.092983,34.973585,12
16-04-12 15:55:51:000,32.092962,34.97355,13
16-04-12 15:55:52:000,32.092933,34.973513,14
16-04-12 15:55:53:000,32.092915,34.973531,9
16-04-12 15:55:54:000,32.092899,34.973517,9
16-04-12 15:55:55:000,32.092873,34.973485,10
16-04-12 15:55:56:000,32.092862,34.973477,8
16-04-12 15:55:57:000,32.092837,34.973453,10
16-04-12 15:55:58:000,32.092806,34.973442,10
16-04-12 15:55:59:000,32.092771,34.973408,12
16-04-12 15:56:00:000,32.092739,34.973396,11
16-04-12 15:56:01:000,32.092701,34.973369,12
16-04-12 15:56:02:000,32.092667,34.97334,13
16-04-12 15:56:03:000,32.092652,34.973317,11
16-04-12 15:56:04:000,32.092634,34.973297,11
16-04-12 15:56:05:000,32.092639,34.973312,8
16-04-12 15:56:06:000,32.092614,34.973285,8
16-04-12 15:56:07:000,32.092604,34.973267,7
16-04-12 15:56:08:000,32.092582,34.973252,9
16-04-12 15:56:09:000,32.09257,34.973268,6
16-04-12 15:56:10:000,32.092564,34.973273,6
16-04-12 15:56:11:000,32.092541,34.973286,8
16-04-12 15:56:12:000,32.092506,34.973307,11
16-04-12 15:56:13:000,32.092476,34.97333,12
16-04-12 15:56:14:000,32.092461,34.973338,10
16-04-12 15:56:15:000,32.092432,34.973357,10
16-04-12 15:56:16:000,32.092396,34.97339,11
16-04-12 15:56:17:000,32.092376,34.973425,12
16-04-12 15:56:18:000,32.092353,34.97345,10
16-04-12 15:56:19:000,32.09234,34.973466,9
16-04-12 15:56:20:000,32.092326,34.973489,9
16-04-12 15:56:21:000,32.092288,34.97353,12
16-04-12 15:56:22:000,32.092262,34.973559,11
16-04-12 15:56:23:000,32.092242,34.973601,11
16-04-12 15:56:24:000,32.092226,34.973606,7
16-04-12 15:56:25:000,32.09222,34.973614,7
16-04-12 15:56:26:000,32.092204,34.97363,6
16-04-12 15:56:27:000,32.092192,34.973659,7
16-04-12 15:56:28:000,32.092179,34.973662,7
16-04-12 15:56:29:000,32.092163,34.973691,9
16-04-12 15:56:30:000,32.092141,34.973723,11
16-04-12 15:56:31:000,32.092114,34.973748,11
16-04-12 15:56:32:000,32.092086,34.973771,10
16-04-12 15:56:33:000,32.092062,34.973789,10
16-04-12 15:56:34:000,32.092045,34.973808,10
16-04-12 15:56:35:000,32.092029,34.973833,10
16-04-12 15:56:36:000,32.091998,34.973856,11
16-04-12 15:56:37:000,32.091987,34.973867,9
16-04-12 15:56:38:000,32.091963,34.973883,9
16-04-12 15:56:39:000,32.091931,34.973902,9
16-04-12 15:56:40:000,32.091912,34.973916,6
16-04-12 15:56:41:000,32.091905,34.973935,7
16-04-12 15:56:42:000,32.091902,34.973983,6
16-04-12 15:56:43:000,32.091889,34.974007,6
16-04-12 15:56:44:000,32.091865,34.974023,9
16-04-12 15:56:45:000,32.091855,34.974044,9
16-04-12 15:56:46:000,32.091856,34.974066,5
16-04-12 15:56:47:000,32.091847,34.974088,9
16-04-12 15:56:48:000,32.091836,34.974142,10
16-04-12 15:56:49:000,32.091823,34.974155,8
16-04-12 15:56:50:000,32.091799,34.974178,8
16-04-12 15:56:51:000,32.091781,34.97421,9
16-04-12 15:56:52:000,32.091751,34.974246,10
